"site","vertex_id","X","Y"
"SRM",1,512872.030583635,3520847.31705158
"SRM",2,512872.030583635,3520447.31705158
"SRM",3,512472.030583635,3520447.31705158
"SRM",4,512472.030583635,3520847.31705158
"SRM",5,512872.030583635,3520847.31705158
"SRG",1,516416.756266257,3517210.58026176
"SRG",2,516416.756266257,3517000.58026176
"SRG",3,516206.756266257,3517000.58026176
"SRG",4,516206.756266257,3517210.58026176
"SRG",5,516416.756266257,3517210.58026176
